species,bill_length_mm,bill_depth_mm
Adelie,39.1,18.7
Adelie,39.5,17.4
Adelie,40.3,18
Adelie,NA,NA
Adelie,36.7,19.3
Adelie,39.3,20.6
Adelie,38.9,17.8
Adelie,39.2,19.6
Adelie,34.1,18.1
Adelie,42,20.2
Adelie,37.8,17.1
Adelie,37.8,17.3
Adelie,41.1,17.6
Adelie,38.6,21.2
Adelie,34.6,21.1
Adelie,36.6,17.8
Adelie,38.7,19
Adelie,42.5,20.7
Adelie,34.4,18.4
Adelie,46,21.5
Adelie,37.8,18.3
Adelie,37.7,18.7
Adelie,35.9,19.2
Adelie,38.2,18.1
Adelie,38.8,17.2
Adelie,35.3,18.9
Adelie,40.6,18.6
Adelie,40.5,17.9
Adelie,37.9,18.6
Adelie,40.5,18.9
Adelie,39.5,16.7
Adelie,37.2,18.1
Adelie,39.5,17.8
Adelie,40.9,18.9
Adelie,36.4,17
Adelie,39.2,21.1
Adelie,38.8,20
Adelie,42.2,18.5
Adelie,37.6,19.3
Adelie,39.8,19.1
Adelie,36.5,18
Adelie,40.8,18.4
Adelie,36,18.5
Adelie,44.1,19.7
Adelie,37,16.9
Adelie,39.6,18.8
Adelie,41.1,19
Adelie,37.5,18.9
Adelie,36,17.9
Adelie,42.3,21.2
Adelie,39.6,17.7
Adelie,40.1,18.9
Adelie,35,17.9
Adelie,42,19.5
Adelie,34.5,18.1
Adelie,41.4,18.6
Adelie,39,17.5
Adelie,40.6,18.8
Adelie,36.5,16.6
Adelie,37.6,19.1
Adelie,35.7,16.9
Adelie,41.3,21.1
Adelie,37.6,17
Adelie,41.1,18.2
Adelie,36.4,17.1
Adelie,41.6,18
Adelie,35.5,16.2
Adelie,41.1,19.1
Adelie,35.9,16.6
Adelie,41.8,19.4
Adelie,33.5,19
Adelie,39.7,18.4
Adelie,39.6,17.2
Adelie,45.8,18.9
Adelie,35.5,17.5
Adelie,42.8,18.5
Adelie,40.9,16.8
Adelie,37.2,19.4
Adelie,36.2,16.1
Adelie,42.1,19.1
Adelie,34.6,17.2
Adelie,42.9,17.6
Adelie,36.7,18.8
Adelie,35.1,19.4
Adelie,37.3,17.8
Adelie,41.3,20.3
Adelie,36.3,19.5
Adelie,36.9,18.6
Adelie,38.3,19.2
Adelie,38.9,18.8
Adelie,35.7,18
Adelie,41.1,18.1
Adelie,34,17.1
Adelie,39.6,18.1
Adelie,36.2,17.3
Adelie,40.8,18.9
Adelie,38.1,18.6
Adelie,40.3,18.5
Adelie,33.1,16.1
Adelie,43.2,18.5
Adelie,35,17.9
Adelie,41,20
Adelie,37.7,16
Adelie,37.8,20
Adelie,37.9,18.6
Adelie,39.7,18.9
Adelie,38.6,17.2
Adelie,38.2,20
Adelie,38.1,17
Adelie,43.2,19
Adelie,38.1,16.5
Adelie,45.6,20.3
Adelie,39.7,17.7
Adelie,42.2,19.5
Adelie,39.6,20.7
Adelie,42.7,18.3
Adelie,38.6,17
Adelie,37.3,20.5
Adelie,35.7,17
Adelie,41.1,18.6
Adelie,36.2,17.2
Adelie,37.7,19.8
Adelie,40.2,17
Adelie,41.4,18.5
Adelie,35.2,15.9
Adelie,40.6,19
Adelie,38.8,17.6
Adelie,41.5,18.3
Adelie,39,17.1
Adelie,44.1,18
Adelie,38.5,17.9
Adelie,43.1,19.2
Adelie,36.8,18.5
Adelie,37.5,18.5
Adelie,38.1,17.6
Adelie,41.1,17.5
Adelie,35.6,17.5
Adelie,40.2,20.1
Adelie,37,16.5
Adelie,39.7,17.9
Adelie,40.2,17.1
Adelie,40.6,17.2
Adelie,32.1,15.5
Adelie,40.7,17
Adelie,37.3,16.8
Adelie,39,18.7
Adelie,39.2,18.6
Adelie,36.6,18.4
Adelie,36,17.8
Adelie,37.8,18.1
Adelie,36,17.1
Adelie,41.5,18.5
Gentoo,46.1,13.2
Gentoo,50,16.3
Gentoo,48.7,14.1
Gentoo,50,15.2
Gentoo,47.6,14.5
Gentoo,46.5,13.5
Gentoo,45.4,14.6
Gentoo,46.7,15.3
Gentoo,43.3,13.4
Gentoo,46.8,15.4
Gentoo,40.9,13.7
Gentoo,49,16.1
Gentoo,45.5,13.7
Gentoo,48.4,14.6
Gentoo,45.8,14.6
Gentoo,49.3,15.7
Gentoo,42,13.5
Gentoo,49.2,15.2
Gentoo,46.2,14.5
Gentoo,48.7,15.1
Gentoo,50.2,14.3
Gentoo,45.1,14.5
Gentoo,46.5,14.5
